delta_v,delta_treasury(3Y)t,delta_treasury(3Y)t-1,delta_treasury(1Y)t,delta_treasury(1Y)t-1,deltaAAAt,deltaAAAt-1,deltaAAplt,deltaAAplt-1,deltaAAmit,deltaAAmit-1,deltaAplt,deltaAplt-1,deltaAt,deltaAt-1,deltaAmit,deltaAmit-1,deltaAAt,deltaAAt-1
0.00013,0.006,0.026,-0.004,0.008,-0.006,-0.026,-0.006,-0.026,-0.006,-0.026,-0.006,-0.026,-0.006,-0.026,-0.006,-0.026,-0.006,-0.026
0.00012,-0.024,0.006,-0.005,-0.004,0.024,-0.006,0.024,-0.006,0.024,-0.006,0.024,-0.006,0.024,-0.006,0.024,-0.006,0.024,-0.006
-1.00E-05,-0.001,-0.024,0,-0.005,0.001,0.024,0.001,0.024,0.001,0.024,0.001,0.024,0.001,0.024,0.001,0.024,0.001,0.024
-0.00079,-0.017,-0.001,0.003,0,0.017,0.001,0.017,0.001,0.017,0.001,0.017,0.001,0.017,0.001,0.017,0.001,0.017,0.001
-0.00092,0.003,-0.017,-0.004,0.003,-0.003,0.017,-0.003,0.017,-0.003,0.017,-0.003,0.017,-0.003,0.017,-0.003,0.017,-0.003,0.017
0.00027,-0.016,0.003,-0.003,-0.004,0.016,-0.003,0.016,-0.003,0.016,-0.003,0.016,-0.003,0.016,-0.003,0.016,-0.003,0.016,-0.003
2.00E-05,0.001,-0.016,0.006,-0.003,-0.001,0.016,-0.001,0.016,-0.001,0.016,-0.001,0.016,-0.001,0.016,-0.001,0.016,-0.001,0.016
0.00128,0.015,0.001,0.006,0.006,-0.015,-0.001,-0.015,-0.001,-0.015,-0.001,-0.015,-0.001,-0.015,-0.001,-0.015,-0.001,-0.015,-0.001
0,-0.022,0.015,-0.006,0.006,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015
9.00E-05,-0.033,-0.022,-0.007,-0.006,0.033,0.022,0.033,0.022,0.033,0.022,0.033,0.022,0.033,0.022,0.033,0.022,0.033,0.022
-0.00108,-0.035,-0.033,-0.02,-0.007,0.035,0.033,0.035,0.033,0.035,0.033,0.035,0.033,0.035,0.033,0.035,0.033,0.035,0.033
0,0.014,-0.035,0.008,-0.02,-0.014,0.035,-0.014,0.035,-0.014,0.035,-0.014,0.035,-0.014,0.035,-0.014,0.035,-0.014,0.035
5.00E-05,-0.004,0.014,-0.002,0.008,-0.006,-0.014,-0.006,-0.014,-0.006,-0.014,-0.006,-0.014,-0.006,-0.014,-0.006,-0.014,-0.006,-0.014
3.00E-05,-0.006,-0.004,0.007,-0.002,0.006,-0.006,0.006,-0.006,0.006,-0.006,0.006,-0.006,0.006,-0.006,0.006,-0.006,0.006,-0.006
0.00081,0.015,-0.006,0.003,0.007,-0.015,0.006,-0.015,0.006,-0.015,0.006,-0.015,0.006,-0.015,0.006,-0.015,0.006,-0.015,0.006
-0.00086,-0.022,0.015,-0.004,0.003,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015,0.022,-0.015
-0.00028,0.007,-0.022,0.003,-0.004,-0.007,0.022,-0.007,0.022,-0.007,0.022,-0.007,0.022,-0.007,0.022,-0.007,0.022,-0.007,0.022
0.00223,0,0.007,0,0.003,0,-0.007,0,-0.007,0,-0.007,0,-0.007,0,-0.007,0,-0.007,0,-0.007
0.00014,-0.028,0,-0.012,0,0.018,0,0.018,0,0.018,0,0.018,0,0.018,0,0.018,0,0.018,0
-0.00106,0.009,-0.028,-0.014,-0.012,-0.009,0.018,-0.009,0.018,-0.009,0.018,-0.009,0.018,-0.009,0.018,-0.009,0.018,-0.009,0.018
0.00047,-0.004,0.009,-0.002,-0.014,0.004,-0.009,0.004,-0.009,0.004,-0.009,0.004,-0.009,0.004,-0.009,0.004,-0.009,0.004,-0.009
-0.00056,0,-0.004,-0.008,-0.002,0,0.004,0,0.004,0,0.004,0,0.004,0,0.004,0,0.004,0,0.004
0.00026,0.026,0,0.01,-0.008,-0.026,0,-0.026,0,-0.026,0,-0.026,0,-0.026,0,-0.026,0,-0.026,0
