ID,NAME,TIME,P,CY,DONG,SIZE,F,LAT,LON,D_P,D_HS,D_R,D_U,D_HP,D_M,D_S,BRAND,N_H,N_D,HEAT,HIGHEST,LOWEST,PARK,YONG,GUN
12077,신동아,2007Q1,22800,1992,수서동,33.18,10,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,106,1,개별난방,14,10,0.9,285,26
12078,신동아,2007Q1,22800,1992,수서동,33.18,10,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,1162,8,지역난방,15,15,0.27,203,17
12079,신동아,2007Q1,31700,1992,수서동,39.53,2,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,12,2,개별난방,6,6,0,87,0
12080,신동아,2007Q1,31700,1992,수서동,39.53,2,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,106,1,개별난방,14,10,0.9,285,26
12081,신동아,2007Q1,31700,1992,수서동,39.53,2,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,1162,8,지역난방,15,15,0.27,203,17
12082,신동아,2013Q3,37300,1992,수서동,49.96,9,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,12,2,개별난방,6,6,0,87,0
12083,신동아,2013Q3,37300,1992,수서동,49.96,9,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,106,1,개별난방,14,10,0.9,285,26
12084,신동아,2013Q3,37300,1992,수서동,49.96,9,37.4847039,127.0877692,538.8549371,514.3089525,1448.226376,5461.144521,542.7878123,503.8173749,301.4072489,0,1162,8,지역난방,15,15,0.27,203,17
12085,신동아,2007Q3,29600,1992,수서동,39.53,14,37.4864785,127.0335393,1101.369771,280.4598792,897.6093291,1535.829866,1328.273043,503.1183806,278.9742818,0,12,2,개별난방,6,6,0,87,0
12086,신동아,2007Q3,29600,1992,수서동,39.53,14,37.4864785,127.0335393,1101.369771,280.4598792,897.6093291,1535.829866,1328.273043,503.1183806,278.9742818,0,106,1,개별난방,14,10,0.9,285,26
